,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Algorithm,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering
Processing Method,No Data Processing,No Data Processing,No Data Processing,Normalization,Normalization,Normalization,Transformation,Transformation,Transformation,PCA,PCA,PCA,T+N,T+N,T+N,T+N+PCA,T+N+PCA,T+N+PCA
Subcluster Size,2,3,4,2,3,4,2,3,4,2,3,4,2,3,4,2,3,4
Silhouette Score,0.17995042366462569,0.12496473908632375,0.11304833445801805,0.43611432828588426,0.3215407058889175,0.21209542123221226,0.17995042366462588,0.12496473908632355,0.11304833445801805,0.43081360804535046,0.22502919985511816,0.1549105906289013,0.43611432828588426,0.3215407058889175,0.21209542123221226,0.6559197265088277,0.45771142973205986,0.33131844483440925
Calinski-Harabasz Score,122.00959930244784,95.75864313388199,79.56669479356054,411.7278679032903,276.313467192541,227.42877238130006,122.00959930244808,95.75864313388202,79.56669479356056,454.2592406004226,199.6940340641063,129.15610693473593,411.7278679032903,276.313467192541,227.42877238130006,1006.5030144117609,540.9841820246166,399.4192956064305
Davies-Bouldin Score,1.7307101976650736,2.1321806623880435,2.093684580507442,0.9825658133471726,1.3645430219385073,1.664469058308546,1.7307101976650723,2.132180662388045,2.0936845805074413,0.8750705874464785,1.4823591382128125,1.7193806293005907,0.9825658133471726,1.3645430219385073,1.664469058308546,0.5415783527733917,0.8813246797863804,1.1325428079811148
